AgeBand,TenureBand,customers,churned,churn_rate_pct
25-34,0-1,451,31,6.87
25-34,2-4,1007,79,7.85
25-34,5-7,952,81,8.51
25-34,8-10,812,59,7.27
35-44,0-1,569,113,19.86
35-44,2-4,1211,204,16.85
35-44,5-7,1220,202,16.56
35-44,8-10,981,184,18.76
45-54,0-1,228,122,53.51
45-54,2-4,433,217,50.12
45-54,5-7,439,191,43.51
45-54,8-10,358,172,48.04
55-64,0-1,95,50,52.63
55-64,2-4,185,94,50.81
55-64,5-7,166,80,48.19
55-64,8-10,154,75,48.7
65+,0-1,44,7,15.91
65+,2-4,77,10,12.99
65+,5-7,89,14,15.73
65+,8-10,72,12,16.67
<25,0-1,61,4,6.56
<25,2-4,133,13,9.77
<25,5-7,141,14,9.93
<25,8-10,122,9,7.38
