feature,importance
Age,0.27984762899669086
NumOfProducts,0.16832360847641623
Balance,0.12153519480156692
EstimatedSalary,0.11142961988999844
CreditScore,0.10967244347513745
Tenure,0.06388264269330914
Geography_Germany,0.029818814960400744
IsActiveMember_0,0.025406122361577244
IsActiveMember_1,0.02519410306427678
Geography_France,0.0126974269077971
Gender_Male,0.011216441116001516
Gender_Female,0.010589577551572292
Geography_Spain,0.010289967174402889
HasCrCard_0,0.010283752140084746
HasCrCard_1,0.009812656390767786
