threshold,precision,recall,f1,accuracy
0.1,0.3167808219178082,0.9090909090909091,0.46984126984126984,0.5825
0.15,0.3860045146726862,0.8402948402948403,0.5290023201856149,0.6955
0.2,0.4713656387665198,0.7886977886977887,0.5900735294117647,0.777
0.25,0.5359116022099447,0.714987714987715,0.6126315789473684,0.816
0.3,0.589041095890411,0.6339066339066339,0.6106508875739645,0.8355
0.35,0.6536312849162011,0.5749385749385749,0.611764705882353,0.8515
0.4,0.7033333333333334,0.5184275184275184,0.5968882602545968,0.8575
0.45,0.7637795275590551,0.47665847665847666,0.5869894099848714,0.8635
0.5,0.8108108108108109,0.44226044226044225,0.5723370429252782,0.8655
0.55,0.8478260869565217,0.3832923832923833,0.5279187817258884,0.8605
0.6,0.8789808917197452,0.33906633906633904,0.48936170212765956,0.856
0.65,0.8920863309352518,0.3046683046683047,0.4542124542124542,0.851
0.7,0.9122807017543859,0.25552825552825553,0.39923224568138194,0.8435
0.75,0.9156626506024096,0.18673218673218672,0.31020408163265306,0.831
0.8,0.9454545454545454,0.12776412776412777,0.22510822510822512,0.821
0.85,0.967741935483871,0.07371007371007371,0.136986301369863,0.811
0.9,1.0,0.014742014742014743,0.029055690072639227,0.7995
